iter	Passed	Remaining
0	33	6734
1	63	6335
2	94	6186
3	123	6074
4	155	6069
5	181	5883
6	210	5815
7	241	5789
8	280	5949
9	310	5904
10	340	5852
11	377	5911
12	406	5848
13	435	5788
14	462	5701
15	492	5663
16	523	5637
17	562	5687
18	591	5634
19	619	5576
20	646	5511
21	674	5455
22	708	5450
23	738	5416
24	782	5480
25	813	5445
26	842	5396
27	879	5404
28	909	5362
29	938	5320
30	969	5288
31	995	5228
32	1025	5187
33	1055	5151
34	1083	5108
35	1111	5064
36	1137	5013
37	1166	4972
38	1196	4938
39	1224	4899
40	1251	4854
41	1282	4824
42	1313	4796
43	1344	4767
44	1371	4725
45	1399	4686
46	1427	4645
47	1456	4613
48	1483	4573
49	1515	4547
50	1554	4542
51	1583	4506
52	1613	4474
53	1646	4452
54	1680	4429
55	1716	4414
56	1746	4381
57	1776	4350
58	1805	4315
59	1864	4350
60	1892	4313
61	1920	4275
62	1949	4238
63	1975	4198
64	2006	4166
65	2034	4130
66	2062	4093
67	2092	4062
68	2122	4029
69	2150	3993
70	2179	3960
71	2205	3921
72	2293	3989
73	2374	4042
74	2402	4004
75	2433	3971
76	2467	3941
77	2511	3928
78	2546	3900
79	2575	3862
80	2601	3822
81	2629	3784
82	2657	3746
83	2687	3711
84	2719	3679
85	2746	3640
86	2776	3605
87	2805	3570
88	2835	3537
89	2862	3499
90	2887	3459
91	2910	3416
92	2934	3375
93	2960	3338
94	2987	3302
95	3015	3267
96	3044	3232
97	3074	3200
98	3102	3164
99	3130	3130
100	3159	3096
101	3188	3063
102	3217	3029
103	3247	2997
104	3278	2966
105	3307	2932
106	3335	2899
107	3360	2862
108	3389	2829
109	3416	2795
110	3446	2763
111	3474	2730
112	3503	2697
113	3532	2664
114	3557	2629
115	3588	2598
116	3617	2566
117	3646	2533
118	3672	2499
119	3701	2467
120	3730	2435
121	3758	2402
122	3785	2369
123	3811	2336
124	3837	2302
125	3864	2269
126	3892	2237
127	3920	2205
128	3947	2172
129	3976	2141
130	4003	2108
131	4031	2076
132	4059	2045
133	4086	2012
134	4117	1982
135	4145	1950
136	4173	1919
137	4199	1886
138	4228	1855
139	4254	1823
140	4278	1790
141	4304	1758
142	4329	1725
143	4359	1695
144	4389	1664
145	4419	1634
146	4447	1603
147	4474	1571
148	4501	1540
149	4529	1509
150	4558	1479
151	4587	1448
152	4615	1417
153	4641	1386
154	4670	1355
155	4698	1325
156	4727	1294
157	4758	1265
158	4789	1234
159	4815	1203
160	4843	1173
161	4871	1142
162	4899	1112
163	4927	1081
164	4953	1050
165	4982	1020
166	5009	989
167	5038	959
168	5069	929
169	5097	899
170	5126	869
171	5156	839
172	5188	809
173	5217	779
174	5247	749
175	5276	719
176	5303	689
177	5332	659
178	5360	628
179	5388	598
180	5417	568
181	5445	538
182	5470	508
183	5500	478
184	5529	448
185	5559	418
186	5587	388
187	5616	358
188	5644	328
189	5673	298
190	5703	268
191	5733	238
192	5764	209
193	5793	179
194	5822	149
195	5850	119
196	5879	89
197	5908	59
198	5933	29
199	5962	0
